ID,EVENTFUNCTION,EVENTSTATEREASON,EVENTTYPE
772fa3,request,approved,settlement
0dd84f,request,approved,settlement
54c75a,advice,approved,settlement
e4624e,advice,approved,settlement
8b3d84,advice,approved,settlement
3b131c,advice,approved,settlement
e61edb,advice,approved,settlement
51e7d7,advice,approved,settlement
620e71,request,approved,settlement
6c3eeb,advice,approved,settlement
bb8065,advice,approved,settlement
04da4d,advice,approved,settlement
d8fd74,advice,approved,settlement
0e212f,advice,approved,settlement
62e189,advice,approved,settlement
592846,request,approved,settlement
967c2c,advice,approved,settlement
3986f5,advice,approved,settlement
48bd87,request,approved,settlement
e32e45,advice,approved,settlement
763212,advice,approved,settlement
86ece4,advice,approved,settlement
55c09b,advice,approved,settlement
e210cd,request,approved,settlement
0dd168,advice,approved,settlement
f5ceb0,advice,approved,settlement
d02743,request,approved,settlement
391bf8,advice,approved,settlement
8bb471,advice,approved,settlement
15c412,advice,approved,settlement
717097,advice,approved,settlement
7ce01e,advice,approved,settlement
ca6af1,advice,approved,settlement
5c3a41,advice,approved,settlement
3e0851,advice,approved,settlement
b550a2,advice,approved,settlement
45021c,advice,approved,settlement
1e7980,advice,approved,settlement
9a5a00,advice,approved,settlement
9adf52,advice,approved,settlement
cd23df,advice,approved,settlement
85ed4f,advice,approved,settlement
370c98,advice,approved,settlement
027dde,advice,approved,settlement
9e6fc3,advice,approved,settlement
4f9ec7,advice,approved,settlement
6b652c,advice,approved,settlement
918052,advice,approved,settlement
34670d,request,approved,settlement
2e5063,advice,approved,settlement
1aa1b4,advice,approved,settlement
07ef43,advice,approved,settlement
159051,advice,approved,settlement
f62268,advice,approved,settlement
9d43fe,advice,approved,settlement
aff6c1,advice,approved,settlement
2f8276,advice,approved,settlement
7651ac,advice,approved,settlement
28de7c,advice,approved,settlement
d1e8db,request,approved,settlement
841449,advice,approved,settlement
95b2fc,advice,approved,settlement
d1b9e8,advice,approved,settlement
1a364f,advice,approved,settlement
7a1bc5,request,approved,settlement
89f0f0,advice,approved,settlement
2b465d,request,approved,settlement
34d6d7,request,approved,settlement
0f3a5b,advice,approved,settlement
be23a6,request,approved,settlement
2b4b88,advice,approved,settlement
bbf8f5,advice,approved,settlement
e064be,advice,approved,settlement
cd0893,request,approved,settlement
c6679f,request,approved,settlement
695e4b,advice,approved,settlement
0241c7,advice,approved,settlement
1d823a,advice,approved,settlement
2e324f,request,approved,settlement
9d4851,request,approved,settlement
ce958e,advice,approved,settlement
18d6d0,advice,approved,settlement
c38481,request,approved,settlement
9f4010,advice,approved,settlement
014523,advice,approved,settlement
0fb89c,advice,approved,settlement
2d3f00,advice,approved,settlement
8b9fcd,advice,approved,settlement
63ada5,request,approved,settlement
69fe20,advice,approved,settlement
8e7c2f,advice,approved,settlement
f11c2b,advice,approved,settlement
c4ead2,advice,approved,settlement
df452c,advice,approved,settlement
4dabad,request,approved,settlement
6e4143,advice,approved,settlement
f876aa,advice,approved,settlement
1402c4,advice,approved,settlement
57b6bd,advice,approved,settlement
e9454b,advice,approved,settlement
148a54,advice,approved,settlement
71339b,advice,approved,settlement
40d298,advice,approved,settlement
707adb,advice,approved,settlement
89bc0e,advice,approved,settlement
66bf93,advice,approved,settlement
13f2d5,advice,approved,settlement
f14dbd,advice,approved,settlement
9ff4a4,advice,approved,settlement
fee33e,advice,approved,settlement
c4c4ca,advice,approved,settlement
560b44,request,approved,settlement
c4ad64,advice,approved,settlement
a76724,request,approved,settlement
84bbf8,request,approved,settlement
aeb9c7,advice,approved,settlement
90ee1f,advice,approved,settlement
7bf09a,advice,approved,settlement
444e6b,advice,approved,settlement
d93946,advice,approved,settlement
8590bb,advice,approved,settlement
843020,advice,approved,settlement
172649,advice,approved,settlement
6f464b,advice,approved,settlement
f62a66,advice,approved,settlement
9af1cf,advice,approved,settlement
ad8b2d,advice,approved,settlement
4cf396,advice,approved,settlement
5e34ed,advice,approved,settlement
a42cc2,advice,approved,settlement
da4ba2,advice,approved,settlement
b9c3f8,advice,approved,settlement
babf2c,advice,approved,settlement
265bd1,advice,approved,settlement
1834bb,advice,approved,settlement
123773,advice,approved,settlement
53a59e,request,approved,settlement
29893c,advice,approved,settlement
5068d3,advice,approved,settlement
6c5907,advice,approved,settlement
07db54,advice,approved,settlement
423e8d,advice,approved,settlement
7e3c3e,advice,approved,settlement
69449e,advice,approved,settlement
5b07f7,advice,approved,settlement
e88eee,advice,approved,settlement
4f06f0,request,approved,settlement
89df62,advice,approved,settlement
669a68,advice,approved,settlement
60d8f2,advice,approved,settlement
396f16,request,approved,settlement
e99b13,advice,approved,settlement
3f617c,advice,approved,settlement
6555bf,advice,approved,settlement
a00fea,request,approved,settlement
f54f70,request,approved,settlement
ced443,request,approved,settlement
480c09,advice,approved,settlement
