ID,AMOUNT,REASON,DATE
695e4b,-4.7500,""card_purchase"",2013-11-24
28de7c,33.5700,""card_refund"",2013-11-26
91853e,-176.8100,""account_transfer"",2013-12-07
480c09,-4.0000,""card_purchase"",2013-10-28
babf2c,2.1900,""card_refund"",2013-11-22
f54f70,600.0000,""card_transfer"",2013-10-26
6555bf,-11.3800,""card_purchase"",2013-11-06
e4624e,-31.6200,""card_purchase"",2013-10-29
8590bb,-3.5000,""card_purchase"",2013-11-28
c4ad64,-30.0000,""card_purchase"",2013-11-29
159051,-67.2900,""card_purchase"",2013-11-29
8bb471,-6.0000,""card_purchase"",2013-10-28
1d823a,-15.7200,""card_purchase"",2013-11-10
66ed64,-16.7700,""account_transfer"",2013-12-07
b9c3f8,-60.0000,""card_purchase"",2013-10-31
c4c4ca,67.2900,""card_refund"",2013-12-13
cd23df,70.0000,""card_refund"",2013-11-24
72f099,3.0000,""ach_rdfi"",2013-11-20
be23a6,20.0000,""retail_cash_load_us"",2013-11-29
396f16,-44.6000,""card_purchase"",2013-11-24
a9923c,-2.0000,""account_transfer"",2013-11-23
8b9fcd,-53.9500,""card_purchase"",2013-11-06
bbf8f5,-5.1100,""card_purchase"",2013-12-01
07ec06,1.0000,""account_transfer"",2013-11-17
0e212f,-6.6700,""card_purchase"",2013-12-13
cc7dd5,1.0000,""account_transfer"",2013-11-23
b590ea,-2.0000,""account_transfer"",2013-11-23
743685,50.0000,""account_transfer"",2013-11-24
aeb9c7,-2.8000,""card_purchase"",2013-11-26
2365d9,2.0000,""account_transfer"",2013-11-23
62e189,-47.5500,""card_purchase"",2013-11-13
027dde,-3.0000,""card_purchase"",2013-11-07
16db43,1.0000,""account_transfer"",2013-11-23
0dd84f,-51.4800,""card_purchase"",2013-11-24
3b131c,-4.4000,""card_purchase"",2013-11-12
9f4010,-3.7900,""card_purchase"",2013-12-01
185939,-1.0000,""account_transfer"",2013-11-17
d93946,-58.7700,""card_purchase"",2013-11-28
407edf,50.0000,""account_transfer"",2013-11-24
7ce01e,-33.9300,""card_purchase"",2013-12-10
54f325,80.0000,""account_transfer"",2013-11-30
592846,-36.0800,""card_purchase"",2013-11-01
aff6c1,-29.6900,""card_purchase"",2013-11-13
8b3d84,-24.3500,""card_purchase"",2013-11-23
9a5a00,-27.0100,""card_purchase"",2013-11-01
e064be,-12.0000,""card_purchase"",2013-12-08
cbb6ba,-0.0800,""account_transfer"",2013-10-31
7a1bc5,-58.8000,""card_purchase"",2013-11-27
c4ead2,-174.9500,""card_purchase"",2013-10-31
69fe20,-136.7800,""card_purchase"",2013-11-18
4cf396,-131.0000,""card_purchase"",2013-11-06
86ece4,30.0000,""retail_cash_load_us"",2013-12-12
104753,25.0000,""account_transfer"",2013-11-30
d02743,-48.5000,""card_atm_withdrawal_us"",2013-11-01
2b465d,-6.9900,""card_purchase"",2013-11-27
029254,0.5800,""account_transfer"",2013-10-31
172649,-12.4800,""card_purchase"",2013-11-23
f14dbd,-1.7500,""card_purchase"",2013-12-11
772fa3,20.0000,""retail_cash_load_us"",2013-12-06
07ef43,-37.1600,""card_purchase"",2013-10-30
c38481,-23.0000,""card_atm_withdrawal_us"",2013-11-01
3e0851,-2.2500,""card_purchase"",2013-12-04
1e7980,-107.5000,""card_purchase"",2013-11-01
89f0f0,-9.9900,""card_purchase"",2013-10-31
04da4d,-1.0000,""card_purchase"",2013-11-30
fee33e,-2.1100,""card_purchase"",2013-11-18
bb8065,-9.4200,""card_purchase"",2013-12-13
cd0893,200.0000,""card_transfer"",2013-10-31
4f06f0,-8.9800,""card_purchase"",2013-11-01
56286d,-7.9300,""card_purchase"",2013-11-07
1834bb,-9.9900,""card_purchase"",2013-11-29
69449e,-11.0300,""card_purchase"",2013-11-07
84bbf8,-65.4600,""card_atm_withdrawal_intl"",2013-10-28
5027be,20.0000,""account_transfer"",2013-11-12
0fb89c,-58.0000,""card_purchase"",2013-11-06
7bf09a,-60.8300,""card_purchase"",2013-11-14
55c09b,-12.3400,""card_purchase"",2013-11-24
60d8f2,-1.0400,""card_purchase"",2013-12-14
0f3a5b,-21.3300,""card_purchase"",2013-12-12
f62a66,-44.0000,""card_purchase"",2013-11-01
9ff4a4,-22.1900,""card_purchase"",2013-12-13
57b6bd,-2.3900,""card_purchase"",2013-10-29
e210cd,200.0000,""card_transfer"",2013-12-03
71339b,-16.2200,""card_purchase"",2013-11-17
5f2966,5.0000,""account_transfer"",2013-11-01
a00fea,400.0000,""card_transfer"",2013-11-23
2b4b88,-15.7200,""card_purchase"",2013-11-12
ad8b2d,-7.6700,""card_purchase"",2013-12-01
9001d5,20.0000,""account_transfer"",2013-11-01
3a1243,8.8800,""account_transfer"",2013-11-16
1a364f,-8.7800,""card_purchase"",2013-11-26
9e6fc3,-0.9000,""card_purchase"",2013-12-13
6901bf,-5.0000,""account_transfer"",2013-12-01
e32e45,-10.9700,""card_purchase"",2013-11-12
95b2fc,-12.2400,""card_purchase"",2013-11-26
45c9bd,1.0000,""account_transfer"",2013-10-31
29af40,100.0000,""card_transfer"",2013-11-24
9af1cf,6.5300,""card_refund"",2013-11-22
89bc0e,-100.5200,""card_purchase"",2013-12-04
13f2d5,-18.0000,""card_purchase"",2013-10-29
c8773f,1.9900,""account_transfer"",2013-10-26
1aa1b4,-25.1200,""card_purchase"",2013-12-13
2e5063,-14.2400,""card_purchase"",2013-12-04
63ada5,-12.0300,""card_purchase"",2013-11-01
34d6d7,619.6500,""card_transfer"",2013-12-08
51e7d7,-1.8200,""card_purchase"",2013-12-02
df452c,-51.3300,""card_purchase"",2013-10-31
15c412,-11.2600,""card_purchase"",2013-11-07
40db2d,2.0000,""account_transfer"",2013-10-31
29893c,62.0000,""card_refund"",2013-11-23
6c5907,-12.9700,""card_purchase"",2013-10-31
620e71,-20.0000,""card_atm_withdrawal_us"",2013-11-14
90ee1f,-53.0000,""card_purchase"",2013-12-13
123773,-400.0000,""card_purchase"",2013-11-24
391bf8,-0.8000,""card_purchase"",2013-12-13
80a0f7,-1.0000,""account_transfer"",2013-10-31
ced443,-45.0000,""card_purchase"",2013-12-01
08a60d,-38.0000,""card_purchase"",2013-12-14
3986f5,-1.1000,""card_purchase"",2013-10-29
967c2c,-8.7400,""card_purchase"",2013-10-29
7651ac,-1.0100,""card_purchase"",2013-11-01
265bd1,-30.0800,""card_purchase"",2013-11-12
e9454b,-15.3900,""card_purchase"",2013-12-02
843020,-77.8900,""card_purchase"",2013-12-01
a76724,-9.5800,""card_purchase"",2013-11-28
1cd6ac,-260.0000,""account_transfer"",2013-11-16
0241c7,-5.0000,""card_purchase"",2013-11-01
89c98d,-1.9900,""account_transfer"",2013-11-01
f5ceb0,-1.8200,""card_purchase"",2013-12-02
d8fd74,-18.2700,""card_purchase"",2013-11-22
7215a9,-12.7000,""card_purchase"",2013-12-14
f62268,-26.0000,""card_purchase"",2013-11-14
3f617c,-54.6600,""card_purchase"",2013-12-11
07d176,-6.0000,""ach_rdfi"",2013-11-20
54c75a,-1.8900,""card_purchase"",2013-12-10
707adb,-4.7800,""card_purchase"",2013-12-11
56481b,-8.3000,""card_purchase"",2013-11-23
e99b13,-24.3800,""card_purchase"",2013-11-27
7524e2,3.5000,""account_transfer"",2013-11-16
e88eee,-51.9800,""card_purchase"",2013-11-07
5c3a41,-1.0400,""card_purchase"",2013-12-02
9d4851,-8.8200,""card_purchase"",2013-11-13
